definition,id,part_of_speech,ruthes_name
,143229-N,N,ОТМЕРЕТЬ (ПЕРЕСТАТЬ СУЩЕСТВОВАТЬ)
,115480-N,N,"ГЛУПЫЙ, НЕДАЛЕКИЙ"
,134395-N,N,ЦВЕТ ФОНА
накидывать что-либо поверх кого-либо или чего-либо,108831-N,N,"НАКИНУТЬ, НАБРОСИТЬ"
,146536-N,N,НАЛОЖЕНИЕ ШИНЫ
место впадения реки в другой водоём,109459-N,N,УСТЬЕ РЕКИ
,129760-N,N,ВЕТХИЙ ОТ СТАРОСТИ
"освобождать от обязательства, долга",135838-N,N,ПРОЩЕНИЕ ДОЛГА
,7581-N,N,РОДНАЯ СЕСТРА
обильный урожай в значении,146938-N,N,БОЛЬШОЙ УРОЖАЙ
,9577-N,N,КОНЬКОБЕЖНЫЙ СПОРТ
,107052-N,N,БОЧКА (ВМЕСТИЛИЩЕ)
"должностное лицо, производящее предварительное следствие",7256-N,N,СЛЕДОВАТЕЛЬ
,126532-N,N,КОСТРИЩЕ
,2573-N,N,РЕМОНТНОЕ ПРЕДПРИЯТИЕ
,103748-N,N,ГАМБУРГ
соответствующий требованиям эргономики; приспособленный для наиболее удобной и безопасной работы,152899-N,N,"ЭРГОНОМИЧНЫЙ, УДОБНЫЙ ДЛЯ РАБОТЫ"
,117479-N,N,НАВАЛИТЬ (НАЛОЖИТЬ СВЕРХУ)
,104498-N,N,НОРМАНДСКИЕ ОСТРОВА
,125516-N,N,"ВАЛУН, КАМЕННАЯ ГЛЫБА"
,132244-N,N,МАНЕВР ВОЙСК
"нравоучительный, наставнический, назидательный",124116-N,N,"НАСТАВИТЕЛЬНЫЙ, ПОУЧИТЕЛЬНЫЙ"
специалист по изучению языков и культуры Востока,117552-N,N,ВОСТОКОВЕД
"расположение, благожелательное отношение к кому-либо, чему-либо",115440-N,N,"РАСПОЛОЖЕНИЕ, СИМПАТИЯ"
,125241-N,N,БОБРОВЫЙ МЕХ
,103663-N,N,"ДЖОРДЖТАУН, ГАЙАНА"
,121243-N,N,ПРОМОЛЧАТЬ В ОТВЕТ
"сумка прямоугольной формы, иногда со скруглёнными углами или боковыми поверхностями в виде трапеции, часто снабжённая ручкой на одной из торцевых поверхностей, преимущественно предназначенная для переноски бумаг и письменных принадлежностей",107119-N,N,ПОРТФЕЛЬ (СУМКА)
,102076-N,N,ЖУКОВСКИЙ
,115555-N,N,ПРЕДСЕДАТЕЛЬСТВОВАТЬ
,144637-N,N,ПОСУДОМОЙЩИЦА
колючий кустарник или небольшое деревце семейства розовых,144200-N,N,ШИПОВНИК (РАСТЕНИЕ)
,101513-N,N,ХАТЛОНСКАЯ ОБЛАСТЬ
"совокупность внешних черт, наружный вид чего-либо",106559-N,N,"ФОРМА, НАРУЖНЫЙ ВИД"
,149236-N,N,ПРОТОКОЛ ПЕРЕДАЧИ ДАННЫХ
,147253-N,N,ПАРТНЕР (УЧАСТНИК)
,136125-N,N,БИОЛОГИЧЕСКОЕ ТОПЛИВО
,100401-N,N,ТУЙМАЗЫ
"последовательность, ряд действий, событий и т. п.",121262-N,N,СЕРИЯ (ПОСЛЕДОВАТЕЛЬНЫЙ РЯД)
"крепёжное изделие, представляющее собой цилиндр или параллелепипед, заострённый с одного конца и имеющий на втором, тупом конце плоскую шляпку.",5466-N,N,ГВОЗДЬ
,3330-N,N,РЕГИСТРАЦИОННЫЙ УЧЕТ ГРАЖДАН
,115872-N,N,ПОДЛОЖИТЬ (ДОБАВИТЬ)
"многолетнее растение семейства Вересковые; низкорослый кустарничек с зеленовато-белыми цветами и круглыми чёрными сладкими ягодами, употребляемыми в пищу (Vaccinium myrtillus)",5018-N,N,ЧЕРНИКА (РАСТЕНИЕ)
прыскать в разные стороны; разбрызгивать,121041-N,N,"РАЗБРЫЗГАТЬ, РАСПРЫСКАТЬ"
устройство для обнаружения и определения местонахождения объектов в пространстве по отражённым от них радиоволнам,7386-N,N,РАДИОЛОКАЦИОННАЯ СТАНЦИЯ
,102512-N,N,ОРЛОВСКАЯ ОБЛАСТЬ
,137446-N,N,"УСИЛИТЬ (УВЕЛИЧИВ КОЛИЧЕСТВЕННО, СДЕЛАТЬ БОЛЕЕ МОЩНЫМ)"
количество родившихся в единицу времени,609-N,N,РОЖДАЕМОСТЬ
,116833-N,N,ОБМЕРИТЬСЯ (ОШИБИТЬСЯ)
,4796-N,N,ЭПИФИТОТИЯ
,6484-N,N,ИСТОЧНИК ДОХОДА
,139734-N,N,"ПРОГНАТЬ ЧУВСТВА, МЫСЛИ"
,144259-N,N,ЧЕРНИКА (ПЛОД)
"отношение к людям, проникнутое любовью, заботой об их благе, уважением к человеческому достоинству",130750-N,N,ГУМАНИЗМ (МИРОВОЗЗРЕНИЕ)
,1528-N,N,ВОЕННАЯ ДОКТРИНА
,280-N,N,СВОБОДА СЛОВА
,126789-N,N,ОПЕРНЫЙ ПЕВЕЦ
,100580-N,N,КОВРОВ
"расширение свободы экономических действий хозяйствующих субъектов, снятие или сокращение ограничений на экономическую деятельность",122207-N,N,ЛИБЕРАЛИЗАЦИЯ
"человек, управляющий летательным аппаратом или судном",216-N,N,ЛЕТЧИК
,131284-N,N,ЭЛЕКТРОСТАЛЬ (СТАЛЬ)
"злая, сварливая или безобразная женщина",125853-N,N,"ВЕДЬМА, МЕГЕРА"
,117357-N,N,ИСКАТЬ (СТАРАТЬСЯ ПОЛУЧИТЬ)
,127057-N,N,"НАДРЕЗ, МЕСТО НАДРЕЗА"
"символ христианской веры в виде длинного вертикального стержня, пересеченного у верхнего конца перекладиной;  крестное знамение магический жест христиан, знак креста, изображаемый перекрёстным движением правой руки",124155-N,N,КРЕСТ (ПРЕДМЕТ КУЛЬТА)
,6044-N,N,РЕВМАТИЗМ
,100307-N,N,"АРАРАТ, ГОРОД"
,103571-N,N,ШЕФФИЛД
,127360-N,N,ФРАНЦИЙ
"болельщик, любитель",136896-N,N,ФАНАТ (ПОКЛОННИК)
"количество движения, равное произведению массы тела на его скорость",153529-N,N,ИМПУЛЬС (ФИЗИЧЕСКАЯ ВЕЛИЧИНА)
"высказанное, выраженное мнение о желательности чего-либо; совет, требование, запрос, предложение",106458-N,N,"ПРОСЬБА, ЖЕЛАНИЕ, ПОЖЕЛАНИЕ"
,103951-N,N,ДЖАКАРТА
"умозаключение, в котором на основании сходства в каком-либо отношении предметов, явлений, понятий делается вывод об их сходстве и в других отношениях",141480-N,N,УМОЗАКЛЮЧЕНИЕ ПО АНАЛОГИИ
,8462-N,N,МОТОРНОЕ ТОПЛИВО
,7674-N,N,СЕЛЕКЦИОНЕР
,111360-N,N,УСТРАНИТЬ (УНИЧТОЖИТЬ)
,108585-N,N,ВАНИЛИН
,114467-N,N,ДЕТОУБИЙСТВО
"признак, по которому производится оценка, определение или классификация чего-либо",132585-N,N,КРИТЕРИЙ ОЦЕНКИ
,6136-N,N,ПИОНЕРСКАЯ ОРГАНИЗАЦИЯ
,153926-N,N,НЕЗАКОННЫЙ ОБОРОТ
,101542-N,N,КУСТАНАЙ
,134042-N,N,ПОСТСКРИПТУМ
"приспособление в составе кухонной плиты, имеющее металлические стенки и предназначенное для запекания пищи при высокой температуре",118314-N,N,ДУХОВКА
,100256-N,N,АМУР
,115464-N,N,ТЕХНИЧЕСКАЯ ДИАГНОСТИКА
,119169-N,N,ОШИБОЧНЫЙ
"раздел зоологии, изучающий птиц",111071-N,N,ОРНИТОЛОГИЯ
,127624-N,N,ПОДРОСТ ДЕРЕВЬЕВ
,116677-N,N,ЗАКЛЮЧИТЬ (ПОМЕСТИТЬ)
"прийти в негодность, разрушившись, разбившись на части",119903-N,N,ЛОМАТЬСЯ НА ЧАСТИ
"изготовлять чертежи, то есть схематичные графические изображения объектов, подчиняющиеся определённым правилам и условностям",111625-N,N,"ЧЕРТИТЬ, ДЕЛАТЬ ЧЕРТЕЖ"
,104258-N,N,КНДР
,139671-N,N,ВЫИГРЫШНЫЙ (СПОСОБСТВУЮЩИЙ УСПЕХУ)
"промежуток времени, равный по длительности половине минуты",153988-N,N,ПОЛМИНУТЫ
"главный приз (в соревновании, конкурсе)",109906-N,N,ГРАН-ПРИ
"соединение химического элемента с кислородом, в котором атомы кислорода не связаны между собой",124326-N,N,ОКСИДЫ
,119360-N,N,НУДНЫЙ
"гигантский город, образовавшийся в результате срастания нескольких соседних городов, городских агломераций",134783-N,N,"МЕГАПОЛИС, ГОРОД-МИЛЛИОНЕР"
,2700-N,N,ЖЕЛЕЗНОДОРОЖНЫЙ БИЛЕТ
,9486-N,N,ОПЕРАЦИОНИСТ БАНКА
,7750-N,N,ОБВИНИТЕЛЬНЫЙ ПРИГОВОР
,105451-N,N,БЕРБЕРЫ
,105436-N,N,ТУРЕЦКАЯ РЕСПУБЛИКА СЕВЕРНЫЙ КИПР
"специалист в области синоптики, метеоролог, дающий прогнозы погоды на основании синоптических карт",120783-N,N,СИНОПТИК
,534-N,N,НЕФТЕХРАНИЛИЩЕ
,135577-N,N,"УТОЛСТИТЬ (СДЕЛАТЬ ТОЛСТЫМ, ТОЛЩЕ)"
,102635-N,N,КУБНЯ
,136736-N,N,НЬЮ-ЙОРК (ШТАТ)
"правовая сфера, на которую распространяются полномочия определённого органа власти",1645-N,N,ПРАВОВАЯ ЮРИСДИКЦИЯ
"середина, главная часть или точка чего-либо",129505-N,N,"ЦЕНТР, ЦЕНТРАЛЬНАЯ ТОЧКА"
,135999-N,N,БЕССЕМЕЙНЫЙ
,146537-N,N,ШИНА (ПЕРЕВЯЗОЧНЫЙ МАТЕРИАЛ)
,121979-N,N,СТАФИЛОКОКК
"территория, занимаемая организацией (обычно — университетом), с расположенными на ней зданиями и сооружениями",136442-N,N,ТЕРРИТОРИЯ УЧЕБНОГО ЗАВЕДЕНИЯ
"целенаправленно покрывать, обдавать брызгами, мелкими каплями; обрызгивать",110779-N,N,ОБРЫЗГАТЬ
,147992-N,N,ЛЕЧЕБНЫЕ ФОРМЫ РАСТЕНИЙ
"пищевой продукт, изделие из пшеничной муки в виде длинных трубочек",109095-N,N,МАКАРОНЫ
,677-N,N,ДЕМАРКАЦИЯ
"устранение содержимого чего-либо, освобождение чего-либо от содержимого",110752-N,N,ОПОРОЖНИТЬ
"сильная склонность, влечение",112996-N,N,ПРИСТРАСТИЕ (СИЛЬНАЯ СКЛОННОСТЬ)
,125514-N,N,ЦВЕТОЧНЫЙ ГОРШОК
,139921-N,N,ОДНОКОМНАТНАЯ КВАРТИРА
,132182-N,N,ЧЕРНАЯ МАГИЯ
"действие по гл. ''оговаривать'', ''оговорить''; наговор, поклёп",3042-N,N,КЛЕВЕТА
,119198-N,N,ПОДДЕРЖАТЬ (ПРИДЕРЖАВ НЕ ДАТЬ УПАСТЬ)
"граница, предел чего-либо",673-N,N,ТЕРРИТОРИАЛЬНАЯ ГРАНИЦА
,139658-N,N,КОЛИЧЕСТВО ГОЛОСОВ
,3405-N,N,ПОДЗЕМНОЕ СООРУЖЕНИЕ
"вера во многих богов, создавших мир и управляющих им",110359-N,N,ПОЛИТЕИЗМ
,144656-N,N,САМООБЕСПЕЧЕНИЕ
,9746-N,N,ПРЕСНОВОДНАЯ РЫБА
,147029-N,N,ВЗЫСКАНИЕ ДОЛГОВ
"товарищ по обучению, воспитанию",124987-N,N,"ОДНОКАШНИК, ТОВАРИЩ ПО УЧЕБЕ"
сплав меди с оловом,3773-N,N,БРОНЗА
,101126-N,N,МАМОНОВО
,1602-N,N,НАЧАЛЬНОЕ ОБРАЗОВАНИЕ
"доведенная до крайней степени приверженность к каким-либо верованиям или воззрениям, нетерпимость к любым др. взглядам",129444-N,N,ФАНАТИЗМ
,124957-N,N,АКВАЛАНГИСТ
"рыболовная снасть, состоящая из удилища и прикрепленной к нему лесы с крючком",110334-N,N,УДОЧКА
,152439-N,N,ЛЕТНИЙ ОТДЫХ
,103755-N,N,АФИНЫ
класс шестиногих членистоногих животных,4609-N,N,НАСЕКОМОЕ
,146866-N,N,СОЛНЦЕЗАЩИТНЫЕ ОЧКИ
,100329-N,N,ОНЕГА
,111780-N,N,ТЕРКА (КУХОННАЯ УТВАРЬ)
,137971-N,N,ТРОИЦА (ПРАВОСЛАВНЫЙ ПРАЗДНИК)
,118548-N,N,СЧЕТЧИК (ПРИБОР)
"тот, кто получает власть по наследству; наследник престола",123358-N,N,ПРЕТЕНДЕНТ НА ПРЕСТОЛ
,145569-N,N,МИКРОБИОЛОГИЧЕСКАЯ БЕЗОПАСНОСТЬ
"сообщение о наличии у субъекта каких-либо прав, намерений или потребностей",106854-N,N,ЗАЯВКА
"мытьём устранять, сводить (пятна, нечистоту)",117305-N,N,СМЫТЬ С ПОВЕРХНОСТИ
,106835-N,N,ИЗВЕЩЕНИЕ (СООБЩЕНИЕ)
,105471-N,N,СЕВЕРНАЯ АФРИКА
"тревожное чувство страха, ужаса",106794-N,N,"УЖАС, СИЛЬНЫЙ СТРАХ"
публицистическое или научное сочинение небольшого размера,114575-N,N,СТАТЬЯ (ТЕКСТ)
,141998-N,N,ЗЕМЛЯНКА
"обхватывать, заключать в кольцо, брать с двух противоположных сторон",118758-N,N,ОБХВАТИТЬ (ЗАКЛЮЧИТЬ В КОЛЬЦО)
,130655-N,N,ПОСТОРОННЕЕ ЛИЦО
"комплекс наук о составе, строении, истории развития земной коры и размещении в ней полезных ископаемых",269-N,N,ГЕОЛОГИЧЕСКИЕ НАУКИ
,143358-N,N,ПРОЦЕДУРА БАНКРОТСТВА
,109666-N,N,ПОЗИТРОН
,1112-N,N,ДОБРОСОСЕДСКИЕ ОТНОШЕНИЯ
,109025-N,N,ПОДСВЕЧНИК
,108058-N,N,ТЕТЕРЕВ
,125597-N,N,ВЗАИМНОСТЬ В ЛЮБВИ
"положительное, желательное качество",113276-N,N,ПОЛОЖИТЕЛЬНОЕ КАЧЕСТВО
,3488-N,N,ОБЩЕСТВЕННЫЙ ТРАНСПОРТ
,121241-N,N,ПУЧОК (ПРИЧЕСКА)
,146595-N,N,ЛИПА (ДРЕВЕСИНА)
"обитающее в воде холоднокровное позвоночное животное, дышащее жабрами",502-N,N,РЫБА
"болезненное ощущение, тупая боль в костях, суставах, мышцах",132185-N,N,"ЛОМОТА,ТУПАЯ БОЛЬ"
,101214-N,N,КОНДОПОГА
,124105-N,N,БУТАФОР
"узкий продолговатый участок суши, окружённый с трёх сторон водой, особенно на слиянии двух рек",118528-N,N,СТРЕЛКА РЕК
,117268-N,N,"ЗЛОУПОТРЕБИТЬ, УПОТРЕБИТЬ ВО ЗЛО"
большая куча снега,127020-N,N,СУГРОБ СНЕГА
"отрезая по краям, укорачивать, подравнивать",112810-N,N,"ПОДРЕЗАТЬ, ОБРЕЗАТЬ С КРАЮ"
,9096-N,N,БЕТОНЩИК
,131281-N,N,КОКСУЮЩИЙСЯ УГОЛЬ
,123954-N,N,КОММУНАЛЬНОЕ ХОЗЯЙСТВО
,140325-N,N,РОЗНИЧНАЯ СКИДКА
четырёхколесный рессорный экипаж с откидным верхом.,117821-N,N,КОЛЯСКА (ЭКИПАЖ)
,138366-N,N,ПИРОТЕХНИЧЕСКАЯ РАКЕТА
"высказаться по поводу чего-либо, дать комментарий",106966-N,N,КОММЕНТИРОВАТЬ
,141725-N,N,"РАСПОЛОЖЕННЫЙ, СКЛОННЫЙ"
,100184-N,N,НАХИЧЕВАНЬ
,132257-N,N,МАТЕРИАЛИЗОВАТЬ (ВОПЛОТИТЬ В МАТЕРИАЛЬНЫЕ ФОРМЫ)
,147362-N,N,СОЛНЕЧНОГОРСКИЙ РАЙОН
,123752-N,N,ВОЗНИЦА
,117036-N,N,ПРЕДЪЯВИТЬ
,132230-N,N,ПОДВЕСНАЯ ЛЮЛЬКА
,5993-N,N,ПОТОЧНОЕ ПРОИЗВОДСТВО
,137524-N,N,АНДРОГЕН
"небольшой, обычно небогатый дом",121536-N,N,ХИЖИНА
"не отличающийся частотой, происходящий редко",137698-N,N,"РЕДКИЙ, РЕДКО СЛУЧАЮЩИЙСЯ"
многострунный щипковый музыкальный инструмент,107997-N,N,АРФА
,139653-N,N,ПОСТАНОВЛЕНИЕ СУДА
,114891-N,N,ВЫРАЩИВАНИЕ РАСТЕНИЙ
,107783-N,N,СОЛОДКА
,105473-N,N,КАМЕРУНЦЫ
,102379-N,N,СЕРДОБСК
"всенародное голосование, устраиваемое для решения каких-нибудь особенно важных вопросов",1568-N,N,РЕФЕРЕНДУМ
радиатор центрального отопления,125168-N,N,БАТАРЕЯ ОТОПЛЕНИЯ
,116103-N,N,СКУКА (ОТСУТСТВИЕ ИНТЕРЕСА)
линия соприкосновения чего-либо,144006-N,N,"СТЫК (ПРЕДЕЛ, ГРАНИЦА)"
,9241-N,N,БЫСТРЫЕ ШАХМАТЫ
,135738-N,N,ГИДРОМЕЛИОРАЦИЯ
,136676-N,N,БИЗНЕС-КЛАСС
,7131-N,N,ОТРУБИ
"середина, главная часть или точка чего-либо",107493-N,N,"ЦЕНТР, ЦЕНТРАЛЬНАЯ ЧАСТЬ"
"полнота энергии, деятельности, активности; решительность, настойчивость",118372-N,N,ЭНЕРГИЧНЫЙ
,125899-N,N,ВЫХОДИТЬ БОЛЬНОГО
,138260-N,N,"НАУРУ, РЕСПУБЛИКА"
"проделывать отверстия, ходы (преимущ. о животных)",111856-N,N,ПРОТОЧИТЬ (ПРОЕСТЬ)
,134405-N,N,РАЗОБЛАЧИТЕЛЬ
"часть тела человека или другого животного, служащая для опоры, ходьбы, а также для хватания, лазания, нанесения ударов и т. п.",118107-N,N,КОНЕЧНОСТЬ (ОРГАН ДВИЖЕНИЯ)
,147330-N,N,РАЙОНЫ МОСКОВСКОЙ ОБЛАСТИ
,3607-N,N,ГОСУДАРСТВЕННЫЙ КОМИТЕТ РОССИЙСКОЙ ФЕДЕРАЦИИ
настольная игра с использованием специальных карт с номерами и бочонками,109386-N,N,ЛОТО
,120409-N,N,ЛИБЕРАЛИЗМ (СНИСХОЖДЕНИЕ)
,131301-N,N,ПИЩЕВЫЕ ДОБАВКИ
способность давать хороший результат,119712-N,N,РЕЗУЛЬТАТИВНЫЙ
,111065-N,N,ТОРЕАДОР
"большое закрытое помещение для спортивных игр, для занятий гимнастикой, лёгкой атлетикой",146493-N,N,СПОРТИВНЫЙ МАНЕЖ
"искривление позвоночника (обычно грудного отдела) выпуклостью назад, при грубой деформации образуется горб",143085-N,N,КИФОЗ
,147383-N,N,СОПРОВОДИТЕЛЬНЫЙ ДОКУМЕНТ
,7832-N,N,ПРОТИВОЛОДОЧНЫЙ КОРАБЛЬ
лиственное дерево семейства вязовых с древесиной высокого качества,108276-N,N,ИЛЬМ
"опустеть, лишиться обитателей вследствие их смерти",141333-N,N,ВЫМЕРЕТЬ (ОПУСТЕТЬ)
намеренное лишение себя жизни,7314-N,N,САМОУБИЙСТВО
,119707-N,N,МУЛАТ
"представитель народа, составляющего коренное население Финляндии",105403-N,N,ФИННЫ
,112348-N,N,САБО
"селить близко к кому-либо, чему-либо или совместно с кем-либо, чем-либо",119994-N,N,ПОДСЕЛИТЬ
,4719-N,N,ЛЕСОСПЛАВ
,102135-N,N,НАГОРНЫЙ КАРАБАХ
способность вмещать определённое количество кого-либо или чего-либо; ёмкость,125659-N,N,ВМЕСТИМОСТЬ (ПАРАМЕТР)
"постоянство в чувствах, привязанностях, убеждениях, поведении и т. п.",117316-N,N,ВЕРНОСТЬ В ЧУВСТВАХ
,132409-N,N,ПРОКАТ ЧЕРНЫХ МЕТАЛЛОВ
"человек, слепо действующий по воле другого",132247-N,N,МАРИОНЕТКА (ЧЕЛОВЕК)
"женщина, занимающаяся ворожбой; колдунья; гадалка",116463-N,N,ГАДАЛКА
,105731-N,N,СНЕЖНОГОРСК
отдельное здание в ряду других зданий,107036-N,N,КОРПУС (ЗДАНИЕ)
,134623-N,N,РУПОР (ТРУБА)
,146569-N,N,РЕЗОНАНС ЗВУКА
,8015-N,N,ГАЗОАНАЛИЗАТОР
"домашний, больничный или спальный костюм, обычно состоящий из широких брюк и куртки свободного покроя",108616-N,N,ПИЖАМА
,139129-N,N,САФАРИ (ОХОТА)
,117703-N,N,ТАБЛИЦА
,134709-N,N,САМОВОЛЬНОЕ ДЕЙСТВИЕ
,108007-N,N,ПАРНОКОПЫТНЫЕ ЖИВОТНЫЕ
,6604-N,N,НАЕМНЫЙ ТРУД
,126892-N,N,ХИРУРГИЧЕСКИЙ ИНСТРУМЕНТАРИЙ
,112058-N,N,МЕДОВУХА
,108340-N,N,РОСОМАХА
,134799-N,N,СЕДЕТЬ (СТАНОВИТЬСЯ СЕДЫМ)
,126153-N,N,НАЖИВКА ДЛЯ ЛОВЛИ
,137277-N,N,МАГАЗИН ДЛЯ ПАТРОНОВ
,152901-N,N,ЧЕЛОВЕК ПО ВОЗРАСТУ
,141197-N,N,САДОВО-ОГОРОДНЫЕ РАБОТЫ
,5726-N,N,КОСИЛКА
,125523-N,N,ТЕАТР-ВАРЬЕТЕ
,142077-N,N,ГАГАУЗИЯ
,147173-N,N,ДНЕПРОПЕТРОВЦЫ
,121915-N,N,КАНДИДАТ НА ВЫБОРАХ
,129744-N,N,"ВЕРТОЛЕТЧИК, ПИЛОТ ВЕРТОЛЕТА"
,136603-N,N,ДИСКОМФОРТ
"предприятие, выпускающее автомобили",2838-N,N,АВТОМОБИЛЬНЫЙ ЗАВОД
"обязанность, круг деятельности чего-либо, подлежащая исполнению работа",137247-N,N,ФУНКЦИЯ (ОБЯЗАННОСТЬ)
,133687-N,N,ПЕРЕФРАЗИРОВАТЬ
,148223-N,N,АВСТРОНЕЗИЙСКИЕ ЯЗЫКИ
внтуренняя сторона руки,107938-N,N,ЛАДОНЬ
,8780-N,N,РЕКЛАМОРАСПРОСТРАНИТЕЛЬ
,136100-N,N,МАГНИТНАЯ БУРЯ
"подобный бархату, напоминающий бархат по виду или на ощупь",125179-N,N,БАРХАТНЫЙ НА ОЩУПЬ
"наполниться, заполниться сверх меры",116623-N,N,ПЕРЕПОЛНИТЬСЯ
"повышение роли городов в жизни страны, выражающееся в сосредоточении населения, экономической и культурной жизни в городских центрах, в возникновении сверхкрупных городов и т. п.",129385-N,N,УРБАНИЗАЦИЯ
"узкая полоска по долевому краю ткани, отличающаяся выработкой",118378-N,N,КРОМКА ТКАНИ
,5382-N,N,ПРОВОДНОЕ РАДИОВЕЩАНИЕ
,139975-N,N,СОЦИАЛЬНО-КУЛЬТУРНАЯ СФЕРА
,139358-N,N,ВОЛГОГРАДЦЫ
,119594-N,N,"БАЛОВАТЬСЯ (ШАЛИТЬ, ЗАБАВЛЯТЬСЯ)"
"кухонный гарнитур, набор мебели для обстановки кухни",107300-N,N,КУХОННАЯ МЕБЕЛЬ
,145634-N,N,ТРАНСПОРТНАЯ КОЛОННА
"зубчатое колесо, передающее вращательное движение",109465-N,N,ШЕСТЕРНЯ
"официальный осмотр, досмотр кого-либо, чего-либо с целью найти укрываемое, недозволенное и т. п.",4282-N,N,ОБЫСК
,5601-N,N,ФАЯНС
"краткий автобиографический документ, содержащий информацию о навыках, опыте работы, образовании и т. п. соискателя на какую-либо должность",138576-N,N,РЕЗЮМЕ ДЛЯ РАБОТЫ
"явление изменения скорости химических реакций в присутствии веществ (катализаторов), вступающих в промежуточное химическое взаимодействие с реагирующими веществами, но восстанавливающих после каждого цикла промежуточных взаимодействий свой химический состав",5531-N,N,КАТАЛИЗ
,118186-N,N,"УПРУГИЙ (ТВЕРДЫЙ, НО ПОДАТЛИВЫЙ НА СЖАТИЕ)"
представитель одного из коренных народов Дагестана,106208-N,N,ЦАХУРЫ
,113488-N,N,КАЛУГА (РЫБА)
,148434-N,N,ЗАМОЧНАЯ СКВАЖИНА
,138549-N,N,СПЕЦЭФФЕКТ
,115975-N,N,"ОТКУПОРИТЬ, РАСКУПОРИТЬ"
,2829-N,N,БИРЖЕВОЙ КУРС
"искусственная надземная неподвижная структура, имеющая внутренний объём",2525-N,N,"СООРУЖЕНИЕ, ПОСТРОЙКА"
,136764-N,N,ГОРОД ВЛАДИМИРСКОЙ ОБЛАСТИ
,153428-N,N,АВТОРСТВО
"отсутствие каких-либо ограничений, стеснений в чем-либо",141462-N,N,РАЗДОЛЬЕ (ПОЛНАЯ СВОБОДА)
,123976-N,N,ТОКСИКОЛОГ
,2062-N,N,ИНОСТРАННОЕ ГОСУДАРСТВО
,105284-N,N,БАРНАУЛ
,152876-N,N,КОНЕЧНОСТЬ ПО ВРЕМЕНИ
"предмет удлинённой формы, обычно являющийся центром или осью чего-либо",107233-N,N,СТЕРЖЕНЬ (ПРЕДМЕТ)
,141156-N,N,СЕЛЬСКОХОЗЯЙСТВЕННАЯ КООПЕРАЦИЯ
,110086-N,N,ЦИРКОВОЙ АРТИСТ
,8724-N,N,ШТУКАТУР
,113960-N,N,ШАТЕР (КРЫША)
,105135-N,N,"АЛЯСКА, ШТАТ США"
плоды шиповника,144336-N,N,ШИПОВНИК (ПЛОД)
,145483-N,N,ШАПКОЗАКИДАТЕЛЬСТВО
,108158-N,N,ЩЕНОК (СОБАКА)
,101699-N,N,СВИРЬ
,6547-N,N,ТЕЛЕМЕТРИЧЕСКОЕ ИЗМЕРЕНИЕ
"зал, помещение для демонстрации и продажи произведений искусства и художественных изделий, а также некоторых промышленных товаров",143817-N,N,МАГАЗИН-САЛОН
,100155-N,N,ШАМКИР
,132751-N,N,ВНЕЗЕМНАЯ ЦИВИЛИЗАЦИЯ
,144061-N,N,ТАКТИЧЕСКОЕ ОРУЖИЕ
,117406-N,N,СЪЕМОЧНАЯ КАМЕРА
,118657-N,N,НАПЕВАТЬ ПЕСНЮ
,126643-N,N,БИЛЬЯРДНАЯ ЛУЗА
"второй палец человеческой руки, если считать с большого пальца",116261-N,N,УКАЗАТЕЛЬНЫЙ ПАЛЕЦ
,127145-N,N,"НЕОСЛАБНЫЙ, НЕУСЫПНЫЙ"
"наивно-простоватый человек, поведением и привычками, указывающий на провинциальный уклад жизни",128357-N,N,ПРОВИНЦИАЛ (ЧЕЛОВЕК ПРОВИНЦИАЛЬНЫХ НРАВОВ)
"самостоятельность в развитии, оригинальность",118567-N,N,САМОБЫТНЫЙ
"сетевой дневник; часто обновляемый персональный сайт, в котором публикуются комментарии автора на различные темы",145982-N,N,БЛОГ
,8915-N,N,ИСТРЕБИТЕЛЬНАЯ АВИАЦИЯ
"действие пренебрегать, пренебречь; отсутствие внимания к кому-либо, чему-либо, надлежащей заботливости о ком-либо, чём-либо",117049-N,N,ПРЕНЕБРЕГАТЬ (ПРОЯВИТЬ ВЫСОКОМЕРНОЕ ОТНОШЕНИЕ)
,125618-N,N,ВИЗИТНАЯ КАРТОЧКА
"изложить в иной форме (музыкальное или литературное произведение), приспособить для исполнения в иной форме",115814-N,N,ПЕРЕЛОЖИТЬ (ПРЕДСТАВИТЬ В ДРУГОЙ ФОРМЕ)
,107462-N,N,"ВДОХНОВЕНИЕ, ТВОРЧЕСКИЙ ПОДЪЕМ"
,127614-N,N,ПОДМЫТЬ (ВЫМЫТЬ НИЖНЮЮ ЧАСТЬ ТЕЛА)
респектабельный,119871-N,N,ПОЧТЕННЫЙ (ВНУШАЮЩИЙ ПОЧТЕНИЕ)
,112490-N,N,АПЕРИТИВ
,131938-N,N,КОЛКИЙ (ПОДАТЛИВЫЙ)
"большой, имеющий высокие количественные показатели",114019-N,N,"БОЛЬШОЙ, ЗНАЧИТЕЛЬНЫЙ"
,6620-N,N,ПЕРВОМАЙСКИЙ ПРАЗДНИК
,119724-N,N,ДОСЛЕДОВАНИЕ ДЕЛА
"расстояние между крайними точками чего-либо (обычно — о разведённых в стороны руках, крыльях и т. п.)",124521-N,N,РАЗМАХ МЕЖДУ КРАЙНИМИ ТОЧКАМИ
