,child_id,parent_id,child_context,parent_context
6576,ПРОГНУТЬСЯ ОТ ТЯЖЕСТИ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6577,"ИСКРИВИТЬСЯ, ПЕРЕКОСИТЬСЯ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6578,"ЗАГНУТЬСЯ, ЗАВЕРНУТЬСЯ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6579,ПЛЫТЬ (ПЕРЕДВИГАТЬСЯ ПО ВОДЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6580,"ЕХАТЬ, ДВИГАТЬСЯ ПРИ ПОМОЩИ СРЕДСТВ ПЕРЕДВИЖЕНИЯ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6581,ПОДЪЕХАТЬ (ПРИБЛИЗИТЬСЯ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6582,ОБКАТКА (ИСПЫТАНИЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6583,"СЪЕХАТЬ, СКАТИТЬСЯ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6584,"ОБЪЕХАТЬ, ОБЪЕЗДИТЬ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6585,ПРОЕХАТЬ ПУТЬ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",подводе дальше было совсем невозможно проехать: путь шел всё больше и,
6586,ОБЪЕХАТЬ (СДЕЛАТЬ КРУГ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6587,ВРАЩЕНИЕ (ДВИЖЕНИЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6588,"ПОЛЗТИ, ПЕРЕДВИГАТЬСЯ ПОЛЗКОМ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6589,СПУСТИТЬСЯ ВНИЗ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","один, мне вдруг захотелось ненадолго спуститься вниз и выкурить сигарету на",
6590,"ПРЫГАТЬ, ДЕЛАТЬ ПРЫЖОК","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6591,"ЛЕЗТЬ (КАРАБКАЯСЬ ПОДНИМАТЬСЯ, ПРОНИКАТЬ КУДА-Л)","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6592,"ОБОГНУТЬ (ОБОЙТИ, ОБЪЕХАТЬ)","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6593,ПРОЙТИ МИМО,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",09. 1510: 52.   Не могу пройти мимо…  Про НЕТ ― это просто,
6594,ОБНЕСТИ (ПРОПУСТИТЬ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6595,"ОБОЙТИ, ИСХОДИТЬ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6596,МОТАТЬСЯ ПО РАЗНЫМ МЕСТАМ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6597,"НАПРАВИТЬСЯ, СЛЕДОВАТЬ В НАПРАВЛЕНИИ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6598,СКОЛЬЗИТЬ ПО ПОВЕРХНОСТИ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","печать всё ещё продолжает временами скользить по поверхности, она ещё не",
6599,ПОДВИНУТЬСЯ (СЛЕГКА ДВИНУТЬСЯ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6600,ПЛАВНОЕ ДВИЖЕНИЕ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","красочный цветочный узор, а грациозное, плавное движение составов в разных направлениях",
6601,СДВИНУТЬСЯ С МЕСТА,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","напоминает сон: перебираешь ногами, но сдвинуться с места нет сил. ",
6602,ЖЕСТ (ДВИЖЕНИЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","немигающий глаз, фиксирующий всякий ее жест, движение, самую сокровенную мысль… ",
6603,СУЕТИТЬСЯ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","должна нервничать, кусать локти и суетиться. ",
6604,БАРАХТАТЬСЯ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","Хотя ещё долго пришлось им барахтаться в торфяной жиже, проваливаться и",
6605,ПЛЕСКАТЬСЯ В ВОДЕ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","из душной и тесной камеры, плескаться в воде. ",
6606,"ШЕВЕЛИТЬСЯ, ИЗМЕНЯТЬ ПОЛОЖЕНИЕ ТЕЛА","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6607,РАЗБРЕСТИСЬ В РАЗНЫЕ СТОРОНЫ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6608,ПЕТЛЯТЬ (ДВИГАТЬСЯ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6609,"ШАГНУТЬ, СДЕЛАТЬ ШАГ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6610,"СЛЕДОВАТЬ, ДВИГАТЬСЯ СЛЕДОМ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6611,ФИГУРА (ПОЛОЖЕНИЕ ТЕЛА),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6612,ВОЗДУХОПЛАВАНИЕ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ", Он считал: «Воздухоплавание вряд ли внесёт существенные перемены,
6613,ОБОГНАТЬ ПРИ ДВИЖЕНИИ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6614,"ФИНТ, ОБМАННОЕ ДВИЖЕНИЕ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6615,ШУМНАЯ ВОЗНЯ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ"," Уж очень отличалась эта шумная возня от игр, какие сам",
6616,"ЛАВИРОВАТЬ, МАНЕВРИРОВАТЬ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ","непреклонные условия жизни заставляют ее лавировать, «маневрировать», приспосабливаться, ― словом, трансформировать свою",
6617,МАНЕВР ВОЙСК,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",и предпринимался глубокий стратегический обходной манёвр войск через Архангельск и Соловецкие,
6618,КАТАТЬСЯ (ДВИЖЕНИЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6619,СНОВАТЬ ТУДА И ОБРАТНО,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6620,ЦИРКУЛИРОВАНИЕ (ЦИКЛИЧЕСКОЕ ДВИЖЕНИЕ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6621,ПРОДВИНУТЬСЯ (ПЕРЕМЕСТИТЬСЯ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6622,ЛЫЖНЫЙ ХОД,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6623,ПЕРЕСЕЧЬ ПРИ ДВИЖЕНИИ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6624,ТЕЧЬ СПЛОШНОЙ МАССОЙ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6625,МИГРАЦИЯ ЖИВОТНЫХ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",неоновых ламп с холодным катодом.   Миграция животных под контролем Чтобы следить,
6626,ДЕЛАТЬ КРУГ (ПЕРЕМЕЩАТЬСЯ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6627,ПОСТУПАТЕЛЬНОЕ ПЕРЕМЕЩЕНИЕ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6628,РУЛЕНИЕ САМОЛЕТА,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6629,ДВИГАТЬСЯ НА НОГАХ,"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6630,ТЯГА (ДВИЖЕНИЕ ГАЗОВ),"ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6631,"ПЕРЕЕХАТЬ, СМЕНИТЬ МЕСТО ПРЕБЫВАНИЯ","ДВИЖЕНИЕ, ПЕРЕМЕЩЕНИЕ",,
6632,КОНЪЮНКТУРА РЫНКА,ЭКОНОМИЧЕСКАЯ КОНЪЮНКТУРА,"почти нет, опытных специалистов мало, конъюнктура рынка, не регулируемая никакими финансово-промышленными",
6633,ГРУЗ,ФИЗИЧЕСКИЙ ОБЪЕКТ,он своими поправками пытается спихнуть груз ответственности на работников… ,
6634,"СООРУЖЕНИЕ, ПОСТРОЙКА",ФИЗИЧЕСКИЙ ОБЪЕКТ,"имело два значения: во-первых, здание, сооружение, постройка; во-вторых ― расположение, порядок. ",
6635,МАТЕРИАЛ ДЛЯ ИЗГОТОВЛЕНИЯ,ФИЗИЧЕСКИЙ ОБЪЕКТ,"художников, увидевших в нем прекрасный материал для изготовления литографий. ",
6636,"ПРЕДМЕТ, ВЕЩЬ",ФИЗИЧЕСКИЙ ОБЪЕКТ,"и перевести только как «объект», «предмет», «вещь». ",
6637,ПОТОК (ДВИЖУЩАЯСЯ МАССА),ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6638,КОПИЯ (РЕЗУЛЬТАТ КОПИРОВАНИЯ),ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6639,ГРОМАДА (ОГРОМНЫЙ ПРЕДМЕТ),ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6640,ЖЕРТВА БОГАМ,ФИЗИЧЕСКИЙ ОБЪЕКТ,"это перспектива библейского юноши Исаака ― жертва богам отцов, жертва их традициям",
6641,"КРАСАВЕЦ, КРАСАВИЦА",ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6642,ОРИЕНТИР НА МЕСТНОСТИ,ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6643,"ПОЛУШАРИЕ, ПОЛУСФЕРА",ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6644,ЭКЗЕМПЛЯР (ОТДЕЛЬНЫЙ ПРЕДМЕТ ИЗ РЯДА ПОДОБНЫХ),ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6645,ПЛАВАЮЩЕЕ ТЕЛО,ФИЗИЧЕСКИЙ ОБЪЕКТ,и якоря одно ― задержать свободно плавающее тело. ,
6646,КОСМИЧЕСКИЙ ОБЪЕКТ,ФИЗИЧЕСКИЙ ОБЪЕКТ,"Герасименко фотоснимки, окончательно идентифицировал новый космический объект. ",
6647,ДЕТАЛЬ ОДЕЖДЫ,ФИЗИЧЕСКИЙ ОБЪЕКТ," Или вот шаль― европейская деталь одежды, но я её шью",
6648,ЦЕЛЬ ДЛЯ ПОПАДАНИЯ,ФИЗИЧЕСКИЙ ОБЪЕКТ,,
6649,ПРИРОДНЫЙ ОБЪЕКТ,ФИЗИЧЕСКИЙ ОБЪЕКТ,"города есть и вовсе уникальный природный объект, называемый воротами, где Волга",
6650,ВЫСОТНАЯ ДОМИНАНТА,ФИЗИЧЕСКИЙ ОБЪЕКТ," Как высотная доминанта, он, естественно, отличается от",
6651,ШЛИФОВАНИЕ ПОВЕРХНОСТИ,АБРАЗИВНЫЕ РАБОТЫ, Производят влажное шлифование поверхности мелкозернистой шкуркой с уайт-спиритом,
6652,ПОЛИРОВАНИЕ ПОВЕРХНОСТИ,АБРАЗИВНЫЕ РАБОТЫ, Полирование поверхности проявило все богатство яркой,
6653,МАНЖЕТА РУКАВА,ОБШЛАГ,"разбери, что это ― браслет или манжета рукава. ",
6654,"ОСМЫСЛИТЬ, ОСОЗНАТЬ",ПОНЯТЬ,"фразу с голоса на мысль ― осмыслить, осознать произносимое ― не всегда успеваешь",
6655,ВНИКНУТЬ,ПОНЯТЬ,"друг друга, так, читая, можно вникнуть в интимные подробности выражения своей",
6656,УГАДАТЬ (ДОГАДАВШИСЬ ПОНЯТЬ),ПОНЯТЬ,,
6657,"ЧУТЬЕ, ИНТУИЦИЯ",ПОНЯТЬ,,
6658,РАСПУТАТЬ (РАЗОБРАТЬСЯ),ПОНЯТЬ,,
6659,УСВОИТЬ ИНФОРМАЦИЮ,ПОНЯТЬ,"позволяя Вячику пережевать, проглотить и усвоить информацию. ",
6660,"ПОЗНАТЬ, ПРИОБРЕСТИ ЗНАНИЕ",ПОНЯТЬ,,
6661,УЛОВИТЬ СМЫСЛ,ПОНЯТЬ,чтения целого текста читатель мог уловить смысл ситуации полного абсурда [3,
6662,ОБЪЯСНИТЬ ПРИЧИНУ,ПОНЯТЬ, Теперь я должна тебе объяснить причину моего поспешного отъезда; она,
6663,НЕПРАВИЛЬНО ПОНЯТЬ,ПОНЯТЬ,пятится к двери:   ― Лорд может неправильно понять.  У нас с ним,
6664,ПРЕДУГАДАТЬ,ПОНЯТЬ,человек Штирлиц и даже можно предугадать некоторые его дальнейшие действия. ,
6665,ТРУДОСПОСОБНОСТЬ,СПОСОБНОСТЬ,"работавшие по найму и потерявшие трудоспособность вследствие увечья, заболевания или старости",
6666,ДЕЕСПОСОБНОСТЬ,СПОСОБНОСТЬ,"моём присутствии.  Личность его установлена, дееспособность проверена.   Зарегистрировано в реестре за",
6667,ВРОЖДЕННАЯ СПОСОБНОСТЬ,СПОСОБНОСТЬ,"как целостный орган, как якобы врождённая способность. ",
6668,"ОДАРЕННЫЙ, ТАЛАНТЛИВЫЙ",СПОСОБНОСТЬ," Нужны ль эпитеты ― одаренный, талантливый, высокоталантливый, гениальный… ",
6669,СИЛА ВОЛИ,СПОСОБНОСТЬ,"09. 1117: 50.   лишний вес-сила воли Mezya, 2004. 09. 1120: 25",
6670,СООБРАЗИТЕЛЬНЫЙ,СПОСОБНОСТЬ," Пупся сообразительный малый и я надеюсь, что",
6671,НАВЫК,СПОСОБНОСТЬ,"очень важный для детского развития навык, и отработать его младенец должен",
6672,"ДЕЛИКАТНЫЙ, ТАКТИЧНЫЙ",СПОСОБНОСТЬ,,
6673,"ГРАМОТА, УМЕНИЕ ЧИТАТЬ И ПИСАТЬ",СПОСОБНОСТЬ,,
6674,"МАСТЕРСТВО, ИСКУССТВО ВЛАДЕНИЯ",СПОСОБНОСТЬ,,
6675,КРИТИЧНОСТЬ (СПОСОБНОСТЬ),СПОСОБНОСТЬ,,
6676,ВЛАДЕТЬ УМЕНИЕМ,СПОСОБНОСТЬ,,
6677,ЧУВСТВИТЕЛЬНОСТЬ (СПОСОБНОСТЬ ОРГАНИЗМА),СПОСОБНОСТЬ,,
6678,"ОСТРОУМИЕ, УМЕНИЕ ОСТРИТЬ",СПОСОБНОСТЬ,,
6679,"СКЛОННОСТЬ, ПРЕДРАСПОЛОЖЕННОСТЬ",СПОСОБНОСТЬ,,
6680,"ДЕЕСПОСОБНЫЙ (СПОСОБНЫЙ К ДЕЙСТВИЯМ, ДЕЯТЕЛЬНОСТИ)",СПОСОБНОСТЬ,,
6681,"ГОТОВНОСТЬ, СОСТОЯНИЕ ГОТОВНОСТИ",СПОСОБНОСТЬ,,
6682,"ПРИСПОСОБЛЯЕМОСТЬ, ГИБКОСТЬ",СПОСОБНОСТЬ,,
6683,МУЗЫКАЛЬНОСТЬ (СПОСОБНОСТЬ),СПОСОБНОСТЬ,,
6684,УМЕНИЕ (СПОСОБНОСТЬ),СПОСОБНОСТЬ,,
6685,БАРХАН,ХОЛМ (НЕБОЛЬШАЯ ГОРКА),"Не тонкая грань, а привычный бархан, чьи пески я неспешно перехожу",
6686,КОЧКА,ХОЛМ (НЕБОЛЬШАЯ ГОРКА),"разворачивает его, как разворачивает ледяная кочка налетевшие на неё сани. ",
6687,ДЮНА,ХОЛМ (НЕБОЛЬШАЯ ГОРКА)," Дюна под Мемозовым благополучно провалилась, он",
6688,ЭРУДИЦИЯ,"БАГАЖ ОПЫТА, ЗНАНИЙ","высокий интеллект, фантазия и широкая эрудиция как нельзя лучше подходят именно",
6689,БЕШЕНСТВО (БОЛЕЗНЬ),НЕВРОЛОГИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"сих пор не найдено, и бешенство ― болезнь с неизбежным летальным исходом",
6690,ПАРАЛИЧ,НЕВРОЛОГИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"Рахман, инвалид.  У него церебральный паралич и эписиндром.  Иногда кажется, что",
6691,ПОЛИОМИЕЛИТ,НЕВРОЛОГИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"количество случаев ОВП, и что полиомиелит диагностируется не сразу, а после",
6692,РАДИКУЛИТ,НЕВРОЛОГИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"болевыми ощущениями, такие как артрит, радикулит, мышечные боли, растяжения связок и",
6693,БОЛЕЗНЬ ПАРКИНСОНА,НЕВРОЛОГИЧЕСКОЕ ЗАБОЛЕВАНИЕ,"даже, что орехи способны предупредить болезнь Паркинсона - исследования показывают, что люди",
6694,РАСШИФРОВАТЬ,РАСКОДИРОВАТЬ (УЗНАТЬ КОД),все реплики-ответы кота удалось расшифровать. ,
6695,МУРЛЫКАТЬ (ТИХО УРЧАТЬ О КОШКЕ),УРЧАТЬ,,
6696,КРОВОСОС,"ПАРАЗИТ, ПАРАЗИТАРНЫЙ ОРГАНИЗМ",главный приз в «Сам себе кровосос-режиссер» ) Или там премию квартальную,
6697,ГЕЛЬМИНТ,"ПАРАЗИТ, ПАРАЗИТАРНЫЙ ОРГАНИЗМ","когда в организме живет плоский гельминт, это приводит к существенному снижению",
6698,БЫТОВЫЕ ПРИБОРЫ,ДОМАШНЕЕ ИМУЩЕСТВО,"пузырьками, аквариум и т.д.   Бытовые приборы.  Исследования Института экологии человека",
6699,ПРЕДМЕТ ДОМАШНЕГО ОБИХОДА,ДОМАШНЕЕ ИМУЩЕСТВО,"рядом с ним стоял некий предмет домашнего обихода красного дерева, нечто",
6700,МАТЕРИТЬСЯ,"РУГАТЬСЯ, ВЫРУГАТЬСЯ","Я боялся, что он начнёт материться.  Мои опасения подтвердились. ",
6701,ЭЛЕКТРОННЫЕ ДЕНЬГИ,БЕЗНАЛИЧНЫЕ СРЕДСТВА,платёжных систем сети Интернет переводить электронные деньги из виртуального кошелька отправителя,
6702,ПЕРЕЧИСЛЕННЫЕ СРЕДСТВА,БЕЗНАЛИЧНЫЕ СРЕДСТВА," По мнению эмитента, перечисленные средства будут распределены между держателями",
6703,ЯЗЫКОВОЕ КЛИШЕ,"БАНАЛЬНОСТЬ, БАНАЛЬНАЯ МЫСЛЬ",,
6704,ПРОПИСНАЯ ИСТИНА,"БАНАЛЬНОСТЬ, БАНАЛЬНАЯ МЫСЛЬ", Прописная истина языкознания состоит в том,
6705,ФИЛИАЛ,ОБОСОБЛЕННОЕ ПОДРАЗДЕЛЕНИЕ, Здесь и филиал транснациональных корпораций СПС под управлением,
6706,ФАРФОРОФАЯНСОВОЕ ИЗДЕЛИЕ,КЕРАМИЧЕСКОЕ ИЗДЕЛИЕ,,
6707,ГОНЧАРНОЕ ИЗДЕЛИЕ,КЕРАМИЧЕСКОЕ ИЗДЕЛИЕ,,
6708,КАРАБИН (ВИНТОВКА),ВИНТОВКА,,
6709,ОБРЕЗ ВИНТОВКИ,ВИНТОВКА,,
6710,АВТОМАТИЧЕСКАЯ ВИНТОВКА,ВИНТОВКА," Так, новая автоматическая винтовка должна была использовать штатный",
6711,ЭЛЕКТРИК,ТЕХНИЧЕСКИЙ ПЕРСОНАЛ,"послужить создаваемый японской фирмой ""Ниппон Электрик Ко"" ультракомпьютер. ",
6712,ЛАБОРАНТ,ТЕХНИЧЕСКИЙ ПЕРСОНАЛ,"в тарелку суп, внимателен, как лаборант, значителен, как судья, сосредоточен, как",
6713,ТЕХНИК,ТЕХНИЧЕСКИЙ ПЕРСОНАЛ,на Уральских месторождениях асбеста / Уральский техник. 1909 б. № 9. ,
6714,ОПЕРАТОР КОТЕЛЬНОЙ,ТЕХНИЧЕСКИЙ ПЕРСОНАЛ,"ним сидел мужчина лет пятидесяти, оператор котельной, читал газету, на стене",
6715,УРНА ДЛЯ МУСОРА,МУСОРНЫЙ КОНТЕЙНЕР," Пустырь?   Скамейка и урна для мусора.  Строение, напоминающее гараж",
6716,ЭТНИЧЕСКИЕ НАРОДЫ,ЭТНИЧЕСКАЯ ОБЩНОСТЬ,,
6717,ГРУППА НАЦИЙ,ЭТНИЧЕСКАЯ ОБЩНОСТЬ,,
6718,ЭТНОГРАФИЧЕСКАЯ ГРУППА,ЭТНИЧЕСКАЯ ОБЩНОСТЬ,что в Курской губернии была этнографическая группа саяны. ,
6719,ПЛЕМЯ (ЭТНИЧЕСКАЯ ОБЩНОСТЬ),ЭТНИЧЕСКАЯ ОБЩНОСТЬ,,
6720,ПРИАМУРЬЕ,БАССЕЙН ВОДНОГО ОБЪЕКТА,"требовалось зафиксировать свое присутствие в Приамурье, цинскому Китаю ― урегулировать отношения с",
6721,ПОСЕЛОК ГОРОДСКОГО ТИПА,ПОСЕЛОК,"в село Мышкино, то в поселок городского типа, и только в",
6722,ГОРКИ,ПОСЕЛОК," Старинные шкафы, столы, горки для посуды не входили в",
6723,ЛАЗАРЕВСКОЕ (СОЧИ),ПОСЕЛОК,,
6724,ДАГОМЫС,ПОСЕЛОК,мы поехали на сбор в Дагомыс. ,
6725,ВОРОХ (ГРУДА),"КУЧА, ГРУДА",,
6726,СТОГ,"КУЧА, ГРУДА","так, что иголка, брошенная в стог сена, позавидует. ",
6727,ЗАВАЛ (ПРЕГРАДА),"КУЧА, ГРУДА",,
6728,БУРТ (КУЧА),"КУЧА, ГРУДА",,
6729,СУГРОБ СНЕГА,"КУЧА, ГРУДА","бросил пешню и сел на сугроб снега, похлопав по нему лопатой",
6730,СТОПКА ПРЕДМЕТОВ,"КУЧА, ГРУДА",,
6731,СОБОР (ХРАМ),ХРИСТИАНСКИЙ ХРАМ,"Александром I тоже как масонский собор ― храм всех библейских религий, включая",
6732,ПРАВОСЛАВНЫЙ ХРАМ,ХРИСТИАНСКИЙ ХРАМ,"здесь, на главной площади, стоял православный храм, поражавший всех, кто впервые",
6733,КИРКА (ЛЮТЕРАНСКИЙ ХРАМ),ХРИСТИАНСКИЙ ХРАМ,,
6734,КАТОЛИЧЕСКИЙ ХРАМ,ХРИСТИАНСКИЙ ХРАМ," Зато сейчас здесь снова католический храм, причём главный в Голландии",
6735,ПЕТАРДА (ПИРОТЕХНИЧЕСКОЕ ИЗДЕЛИЕ),ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ,,
6736,ДЫМОВАЯ ШАШКА,ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ,"сигнальная световая ракета ― 40 с, дымовая шашка ― 3 мин, красящий маркер",
6737,ПИРОТЕХНИЧЕСКАЯ РАКЕТА,ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ,,
6738,ВЗРЫВПАКЕТ,ПИРОТЕХНИЧЕСКИЕ ИЗДЕЛИЯ,"бенгальскими огнями, а Софочка хлопнула «взрывпакет» ― бумажную трубочку со смесью марганцовки",
6739,ТАБАК (ПРОДУКТ),ТАБАЧНАЯ ПРОДУКЦИЯ,,
6740,СИГАРА,ТАБАЧНАЯ ПРОДУКЦИЯ," У нас сигара редкость, до войны курили папиросы",
6741,СИГАРЕТА,ТАБАЧНАЯ ПРОДУКЦИЯ,сериала незаменимым спутником Штирлица является сигарета. ,
6742,СОВЕТ ФЕДЕРАЦИИ,СЕНАТ, Всё-таки Совет Федерации пока отклонил это предложение,
6743,ЭТАПИРОВАНИЕ ЗАКЛЮЧЕННЫХ,КОНВОИРОВАНИЕ,"тем, что по ней проходило этапирование заключенных на каторгу в Сибирь",
6744,МАЖОР (МУЗЫКАЛЬНЫЙ ЛАД),МУЗЫКАЛЬНЫЙ СТРОЙ,,
6745,МИНОР (МУЗЫКАЛЬНЫЙ ЛАД),МУЗЫКАЛЬНЫЙ СТРОЙ,,
6746,РАСТЕРЯННЫЙ,БЕСПОМОЩНЫЙ (НУЖДАЮЩИЙСЯ В ПОМОЩИ),"учёный― не великий человек, а растерянный, не имеющий ""общей идеи"" старик",
6747,"БЕЗЗАЩИТНЫЙ, НЕСПОСОБНЫЙ ЗАЩИТИТЬ СЕБЯ",БЕСПОМОЩНЫЙ (НУЖДАЮЩИЙСЯ В ПОМОЩИ),,
6748,КАРЕТА,ЭКИПАЖ (ПОВОЗКА),"по сухой дороге, словно невидимая карета ""скорой помощи"", и, пожалуй, сильнее",
6749,КАБРИОЛЕТ (ЭКИПАЖ),ЭКИПАЖ (ПОВОЗКА),,
6750,КОЛЯСКА (ЭКИПАЖ),ЭКИПАЖ (ПОВОЗКА),,
6751,КОЛЕСНИЦА (В СТАРИНУ: БОЛЬШОЙ КОЛЕСНЫЙ ЭКИПАЖ),ЭКИПАЖ (ПОВОЗКА),,
6752,БРОНЕТАНКОВЫЕ ВОЙСКА,МОТОСТРЕЛКОВЫЕ ВОЙСКА,"К первым относятся: мотопехотные (механизированные), бронетанковые войска и полевая артиллерия (ПА",
6753,ЛЯГУШОНОК,ЛЯГУШКА,меня тоже три банки! - вставил лягушонок. ,
6754,ЛИССАБОНЦЫ,ПОРТУГАЛЬЦЫ,"книги: «.когда подземные толчки прекратились, лиссабонцы потерянно бродили по городу. ",
6755,ЭЛЕКТРОН,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,"Лоренца), действующую на каждый свободный электрон проводника. ",
6756,ПРОТОН,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,октябре 2002 г. российской ракетой-носителем «Протон» была запущена международная рентгеновская и,
6757,НЕЙТРОН,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,"экономный лилипут, а электрон или нейтрон ― миром, населённым Гулливерами. ",
6758,НЕЙТРИНО,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,к которому относятся электроны и нейтрино. ,
6759,ПОЗИТРОН,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,"Можно сказать, зажал в руке позитрон!  Вот молодой Савостьянов сообразил бы",
6760,ФОТОН,ЭЛЕМЕНТАРНАЯ ЧАСТИЦА,"взаимодействия, кванты полей, примером является фотон) в суперсимметричных моделях ― всего лишь",
6761,ВЫВОЛОЧЬ НАРУЖУ,"ВОЛОЧИТЬ, ТАЩИТЬ ВОЛОКОМ",,
6762,НЕОПОЗНАННЫЙ ЛЕТАЮЩИЙ ОБЪЕКТ,ПАРАНОРМАЛЬНОЕ ЯВЛЕНИЕ,"  ― Я.   ― Неопознанный Летающий Объект, он же НЛО",
6763,ЭКСТРАСЕНСОРНОЕ ВОСПРИЯТИЕ,ПАРАНОРМАЛЬНОЕ ЯВЛЕНИЕ,Это одна сторона дела ― простое экстрасенсорное восприятие. ,
6764,ЗАМЕЧАТЕЛЬНЫЙ В СВОЕМ РОДЕ,"ОТЛИЧНЫЙ, ПРЕВОСХОДНЫЙ", Борис Евгеньевич Ермолкин был замечательный в своем роде человек. ,
6765,"СОВЕРШЕНСТВО, БЕЗУПРЕЧНОСТЬ","ОТЛИЧНЫЙ, ПРЕВОСХОДНЫЙ",,
6766,"ПРИМЕРНЫЙ, ОБРАЗЦОВЫЙ","ОТЛИЧНЫЙ, ПРЕВОСХОДНЫЙ",,
