child,parent,label
правовая система,преступление против личности,0
преступление,преступление против личности,0
электротехника (сфера деятельности),бытовая электроника,0
экономика,денежный доход,0
филология,денежный доход,0
денежная наличность,денежный доход,0
финансовая сфера,денежный доход,0
"устойчивый, устойчиво стоящий","шаткий, неустойчивый",0
биология,окунь,0
зоология,окунь,0
промышленность,токарь-карусельшик,0
спорт,спортивные ворота,0
спортивная игра,спортивные ворота,0
филология,предлог (часть речи),0
спорт,баскетбольный щит,0
филология,бестселлер,0
литература,бестселлер,0
анатомия (наука),мужской организм,0
"цвет, окраска",серый цвет,0
авиация (сфера деятельности),авиационная безопасность,0
биология,клеточное ядро,0
государственная управленческая деятельность,инспекция,0
"чувство, эмоция","горечь, горькое чувство",0
биология,хищное животное,0
зоология,хищное животное,0
правовая система,верховный суд,0
государственная управленческая деятельность,верховный суд,0
правоохранительная деятельность,верховный суд,0
судоустройство,верховный суд,0
промышленность,мебельная промышленность,0
предмет интерьера,мебельная промышленность,0
искусство,тональность музыкального произведения,0
музыкальное искусство,тональность музыкального произведения,0
сфера образования,день знаний,0
"чувство, эмоция",идеал (высшая цель стремлений),0
"цвет, окраска","родинка, родимое пятно",0
транспортная сфера,городской транспорт,0
пассажирский транспорт,городской транспорт,0
искусство,шаман (служитель культа),0
религия,шаман (служитель культа),0
медицина,шаман (служитель культа),0
миф (народное сказание),шаман (служитель культа),0
мистицизм,шаман (служитель культа),0
наука,орнитолог,0
зоология,орнитолог,0
промышленность,алмазная промышленность,0
мода,петля для пуговицы,0
одежда,петля для пуговицы,0
"чувство, эмоция",энтузиазм,0
правовая система,"бандит, вооруженный грабитель",0
вооруженный конфликт,"бандит, вооруженный грабитель",0
преступление,"бандит, вооруженный грабитель",0
медицина,кровоостанавливающий жгут,0
промышленность,кровоостанавливающий жгут,0
экономика,кровоостанавливающий жгут,0
искусство,концертная деятельность,0
промышленность,посыпать (покрыть сыпучим),0
наука,отраслевая социология,0
социология,отраслевая социология,0
радиосвязь,радиосеть,0
автомобильный транспорт,малолитражный автомобиль,0
промышленность,выковать (изготовить ковкой),0
сфера образования,курсовая работа,0
спорт,яхт-клуб (спортивная организация),0
геологические науки,боксит,0
добывающая промышленность,боксит,0
металлургическая промышленность,боксит,0
фотоискусство,фотосъемка,0
политическая деятельность,ястреб в политике,0
спорт,спортивная площадка,0
промышленность,предприятие энергетики,0
экономика,предприятие энергетики,0
энергетика (сфера деятельности),предприятие энергетики,0
наука,топонимика (раздел языкознания),0
филология,топонимика (раздел языкознания),0
географические науки,топонимика (раздел языкознания),0
психологические науки,"лукавый (игривый, добродуш-но хитрый)",0
черта характера,"лукавый (игривый, добродуш-но хитрый)",0
"чувство, эмоция","лукавый (игривый, добродуш-но хитрый)",0
правовая система,взяткодатель,0
преступление,взяткодатель,0
экономика,городская земля,0
медицина,неинфекционное заболевание,0
физиологическая наука,неинфекционное заболевание,0
правовая система,недееспособность,0
металлургическая промышленность,прокатчик,0
правовая система,преступление,0
преступление,преступление,0
"сон, состояние сна","бодрствовать, не спать",0
банковская система,банковский личный счет,0
финансовая сфера,банковский личный счет,0
медицина,вазелин,0
экономика,вазелин,0
биология,луковичное растение,0
ботаника,луковичное растение,0
физика,весовая категория спортсмена,0
экономика,национальная экономика,0
медицина,народная медицина,0
"время, продолжительность","эфемерный (скоропреходящий, непрочный)",0
биология,пясть,0
зоология,пясть,0
медицина,нейрохирургия,0
хирургия,нейрохирургия,0
энергетика (сфера деятельности),бензол,0
антропология,тюркские народы,0
искусство,режиссер,0
супружество,заключение брака,0
семья,заключение брака,0
черта характера,трезвенник,0
правовая система,исковое производство,0
судоустройство,исковое производство,0
"чувство, эмоция",домогательство,0
религия,исламизация (распространение ислама),0
ислам,исламизация (распространение ислама),0
медицина,состояние шока,0
физиологическая наука,состояние шока,0
филология,грамматическое лицо,0
фотоискусство,фотовыставка,0
экономика,предоставление услуг,0
правовая система,исполнитель преступления,0
преступление,исполнитель преступления,0
политическая деятельность,министр,0
государственная управленческая деятельность,министр,0
геологические науки,корунд,0
добывающая промышленность,корунд,0
почтовая связь,почтовая марка,0
денежная наличность,почтовая марка,0
филателия,почтовая марка,0
медицина,радиационная медицина,0
радиационная медицина,радиационная медицина,0
биохимия,дисахариды,0
хоккей на льду,хоккейный период,0
спортивная игра,хоккейный период,0
гидрометеорология,антициклон,0
компьютер,меню компьютера,0
филология,меню компьютера,0
промышленность,"обрабатывать, подвергать обработке",0
экономика,кредитная система,0
финансовая сфера,кредитная система,0
компьютер,команда устройству,0
высшее образование,бизнес-школа,0
наука,радиотелескоп,0
астрономия,радиотелескоп,0
медицина,стенокардия,0
физиологическая наука,стенокардия,0
оборона государства,пуля,0
промышленность,бакалейная продукция,0
экономика,бакалейная продукция,0
биология,корень валерианы,0
ботаника,корень валерианы,0
искусство,остросюжетный фильм,0
кинематография,остросюжетный фильм,0
автомобильный транспорт,асфальтобетонное покрытие,0
дорожное движение,асфальтобетонное покрытие,0
игра (развлечение),валет,0
азартные игры,валет,0
оборона государства,милитарист (сторонник милитаризма),0
психологические науки,"прыткий (подвижный, проворный)",0
черта характера,"прыткий (подвижный, проворный)",0
политическая деятельность,политические технологии,0
толковый (понятливый),бестолковый (глупый),0
психологические науки,бестолковый (глупый),0
черта характера,бестолковый (глупый),0
биология,рак (животное),0
зоология,рак (животное),0
медицина,клептоман,0
правовая система,клептоман,0
психиатрия,клептоман,0
физиологическая наука,клептоман,0
преступление,клептоман,0
медицина,"воспаленный, воспалившийся",0
религия,исламист (сторонник исламизации),0
политическая деятельность,исламист (сторонник исламизации),0
ислам,исламист (сторонник исламизации),0
спорт,шахматная фигура,0
шахматы,шахматная фигура,0
спортивная игра,шахматная фигура,0
промышленность,плавка металлов,0
измерение,атмосферный зонд,0
науки о земле,атмосферный зонд,0
гидрометеорология,атмосферный зонд,0
измерение,единица мощности,0
делопроизводство,ластик для стирания,0
правовая система,наркоторговец,0
преступление,наркоторговец,0
промышленность,предприятие коммунально-бытового обслуживания,0
экономика,предприятие коммунально-бытового обслуживания,0
филология,письмо,0
радиосвязь,радиограмма,0
медицина,болезнь иммунной системы,0
физиологическая наука,болезнь иммунной системы,0
спорт,беговые лыжи,0
лыжный спорт,беговые лыжи,0
биология,енот,0
зоология,енот,0
зоология,рыбоохрана,0
экологическая наука,рыбоохрана,0
промышленность,огородничество,0
сельское хозяйство,огородничество,0
ботаника,огородничество,0
растениеводство,огородничество,0
биохимия,аминокислота,0
"чувство, эмоция",ослепительно красивый,0
семья,двойня (близнецы),0
биология,"коготь зверя, птицы",0
зоология,"коготь зверя, птицы",0
промышленность,лактоза,0
экономика,лактоза,0
биохимия,лактоза,0
спорт,мотоспорт,0
автомобильный транспорт,мотоспорт,0
биология,охотничья собака,0
зоология,охотничья собака,0
охота,охотничья собака,0
литература,нехудожественная литература,0
строительство (отрасль),котлован,0
оборона государства,генеральный штаб,0
военная служба,генеральный штаб,0
строительство (отрасль),щебень,0
измерение,дозиметр,0
биология,ящерица,0
зоология,ящерица,0
"видный, заметный",неуловимый (еле заметный),0
антропология,кубачинцы,0
транспортная сфера,транссибирские перевозки,0
наука,лабораторная посуда,0
отдых,природный парк,0
экологическая наука,природный парк,0
семья,не состоящий в браке,0
оборона государства,военный самолет,0
военная служба,военный самолет,0
искусство,полифоническое произведение,0
музыкальное искусство,полифоническое произведение,0
промышленность,изюм,0
сельское хозяйство,изюм,0
мода,"раздетый, без одежды",0
одежда,"раздетый, без одежды",0
биология,рыба-лоцман,0
зоология,рыба-лоцман,0
океанология,рыба-лоцман,0
облачность,безоблачная погода,0
гидрометеорология,безоблачная погода,0
филология,"пассаж в тексте, речи",0
экономика,пятак,0
филология,пятак,0
денежная наличность,пятак,0
финансовая сфера,пятак,0
психологические науки,доступный в общении,0
черта характера,доступный в общении,0
океанология,море,0
сельское хозяйство,мех соболя,0
животноводство,мех соболя,0
религия,литургия (богослужение),0
христианство,литургия (богослужение),0
энергетика (сфера деятельности),газовая колонка,0
спорт,гонка преследования,0
спортивная гонка,гонка преследования,0
экономика,выдача наличных средств,0
денежная наличность,выдача наличных средств,0
финансовая сфера,выдача наличных средств,0
судоходство,открытый рейд,0
строительство (отрасль),надстроить сверху,0
наука,фольклорист,0
филология,фольклорист,0
оборона государства,курсант,0
сфера образования,курсант,0
вооруженный конфликт,курсант,0
военная служба,курсант,0
филология,болгарский язык,0
политическая деятельность,ретроград,0
правовая система,солидарная ответственность,0
вооруженный конфликт,"штурм позиций, укреплений",0
биология,белуга,0
зоология,белуга,0
экономика,торговля,0
торговля,торговля,0
медицина,санитар,0
"цвет, окраска",клякса,0
"возможный, допустимый",недопустимый,0
"чувство, эмоция",фрустрация,0
экономика,крепленое вино,0
автомобильный транспорт,автомобильный бензин,0
энергетика (сфера деятельности),автомобильный бензин,0
филология,заказное почтовое отправление,0
почтовая связь,заказное почтовое отправление,0
прикладные науки,криогенная технология,0
наука,криогенная технология,0
промышленность,криогенная технология,0
экономика,криогенная технология,0
дорожное движение,дорожный знак,0
гидрометеорология,холодный фронт,0
правовая система,федеральный суд,0
государственная управленческая деятельность,федеральный суд,0
правоохранительная деятельность,федеральный суд,0
судоустройство,федеральный суд,0
гидрометеорология,туман,0
политическая деятельность,контрреволюционер,0
биология,вестибулярный аппарат,0
"чувство, эмоция",вестибулярный аппарат,0
биология,форпост (опора),0
биология,бегемот,0
зоология,бегемот,0
религия,масонская ложа,0
исторические науки,древний египет,0
спорт,аутсайдер,0
зоология,жилище животного,0
игра (развлечение),детская игрушка,0
кулинарное искусство,бифштекс,0
промышленность,государственное сельскохозяйственное предприятие,0
экономика,государственное сельскохозяйственное предприятие,0
сельское хозяйство,государственное сельскохозяйственное предприятие,0
отдых,океанариум,0
наука,океанариум,0
экономика,океанариум,0
промышленность,курительный табак,0
сельское хозяйство,курительный табак,0
ботаника,посадка семян,0
оборона государства,воинское подразделение,0
военная служба,воинское подразделение,0
кулинарное искусство,пичкать едой,0
железнодорожный транспорт,железнодорожный вокзал,0
пассажирский транспорт,железнодорожный вокзал,0
сельское хозяйство,агротехника,0
растениеводство,агротехника,0
промышленность,нефтедобывающая промышленность,0
энергетика (сфера деятельности),нефтедобывающая промышленность,0
добывающая промышленность,нефтедобывающая промышленность,0
филология,карельский язык,0
экономика,телеграфная связь,0
телеграфная связь,телеграфная связь,0
промышленность,металлургическое оборудование,0
металлургическая промышленность,металлургическое оборудование,0
искусство,постановка представления,0
мода,"босой, необутый",0
обувь,"босой, необутый",0
правовая система,технические условия (норматив),0
филология,технические условия (норматив),0
супружество,родственник супруга,0
семья,родственник супруга,0
издательско-полиграфическая деятельность,стереотип (печатная форма),0
средства массовой информации,цензор,0
транспортная сфера,поставщик,0
экономика,поставщик,0
торговля,поставщик,0
"чувство, эмоция","жалость, сострадание",0
геологические науки,рубин,0
добывающая промышленность,рубин,0
кулинарное искусство,шведский стол,0
"время, продолжительность",первая половина дня,0
половая жизнь,влагалище,0
зоология,влагалище,0
анатомия (наука),влагалище,0
правовая система,компьютерный взломщик,0
компьютер,компьютерный взломщик,0
преступление,компьютерный взломщик,0
антропология,каракалпаки,0
психологические науки,приподнятое настроение,0
черта характера,приподнятое настроение,0
"чувство, эмоция",приподнятое настроение,0
отдых,туризм,0
туризм,туризм,0
исторические науки,древний мир,0
религия,культовое сооружение,0
медицина,"нефрит, воспаление почек",0
физиологическая наука,"нефрит, воспаление почек",0
правовая система,дисциплинарная ответственность,0
трудовые отношения,дисциплинарная ответственность,0
искусство,певица-сопрано,0
музыкальное искусство,певица-сопрано,0
спорт,универсиада,0
политическая деятельность,представительные органы местного самоуправления,0
государственная управленческая деятельность,представительные органы местного самоуправления,0
экономика,сберегательное учреждение,0
банковская система,сберегательное учреждение,0
финансовая сфера,сберегательное учреждение,0
автомобильный транспорт,автоматическая коробка передач,0
ветер,безветренная погода,0
гидрометеорология,безветренная погода,0
медицина,бацилла,0
биология,бацилла,0
микробиология,бацилла,0
правовая система,судебное право,0
судоустройство,судебное право,0
промышленность,овсяные хлопья,0
экономика,овсяные хлопья,0
трудовые отношения,отдел кадров,0
рентабельность,нерентабельность,0
искусство,памфлет,0
филология,памфлет,0
литература,памфлет,0
экономика,прямой налог,0
налоговая система,прямой налог,0
денежная наличность,прямой налог,0
финансовая сфера,прямой налог,0
транспортная сфера,тара,0
грузовые перевозки,тара,0
рыболовство,рыболовная снасть,0
медицина,фармацевтическое предприятие,0
промышленность,фармацевтическое предприятие,0
фармакология,фармацевтическое предприятие,0
промышленность,фермерское хозяйство,0
сельское хозяйство,фермерское хозяйство,0
животноводство,фермерское хозяйство,0
наука,гигиена (наука),0
медицина,гигиена (наука),0
зоология,лягушонок,0
кулинарное искусство,галушки,0
филология,абхазский язык,0
географические науки,широтный пояс,0
филология,древнегреческий язык,0
мода,ботфорты,0
одежда,ботфорты,0
обувь,ботфорты,0
промышленность,облицовка (слой),0
"чувство, эмоция","опьянеть от мысли, чувства",0
электротехника (сфера деятельности),"разрядиться, потерять заряд",0
электричество (физическое явление),"разрядиться, потерять заряд",0
экономика,государственная ценная бумага,0
филология,государственная ценная бумага,0
финансовая сфера,государственная ценная бумага,0
ценная бумага,государственная ценная бумага,0
океанология,онежская губа,0
плавание,брасс,0
биология,пресноводная губка,0
зоология,пресноводная губка,0
медицина,амбулаторное лечение,0
медицина,рубцевание раны,0
промышленность,пицца,0
экономика,пицца,0
кулинарное искусство,пицца,0
кулинарное искусство,"разжевать, прожевать",0
психологические науки,интриган,0
черта характера,интриган,0
космонавтика,состояние невесомости,0
искусство,произведение искусства,0
судоходство,кораблекрушение,0
авария,кораблекрушение,0
автомобильный транспорт,полоса для движения общественного транспорта,0
дорожное движение,полоса для движения общественного транспорта,0
промышленность,"мазать, намазать",0
психологические науки,неугомонный,0
черта характера,неугомонный,0
"чувство, эмоция",неугомонный,0
промышленность,животноводческое хозяйство,0
сельское хозяйство,животноводческое хозяйство,0
животноводство,животноводческое хозяйство,0
"чувство, эмоция",тоска по прошлому,0
добывающая промышленность,буровые работы,0
наука,биофизика,0
физика,биофизика,0
зоология,гнездо животного,0
промышленность,горбыль (крайняя доска),0
экономика,горбыль (крайняя доска),0
зоология,оленья упряжка,0
астрономия,звезда северного полушария,0
искусство,ария,0
музыкальное искусство,ария,0
шахматы,рокировка,0
спортивная игра,рокировка,0
геологические науки,визирование (наведение),0
правовая система,служебная иерархия,0
трудовые отношения,служебная иерархия,0
антропология,токийцы,0
литература,книгоиздательство,0
издательско-полиграфическая деятельность,книгоиздательство,0
кулинарное искусство,деликатес,0
биология,"сила, жизненная сила",0
филология,калмыцкий язык,0
медицина,подтяжка лица,0
хирургия,подтяжка лица,0
наука,картография,0
науки о земле,картография,0
геологические науки,картография,0
географические науки,картография,0
наука,геохимия,0
науки о земле,геохимия,0
геологические науки,геохимия,0
искусство,камерная музыка,0
музыкальное искусство,камерная музыка,0
исторические науки,палеолит,0
правовая система,возбуждение уголовного дела,0
преступление,возбуждение уголовного дела,0
судоустройство,возбуждение уголовного дела,0
выборы,прокламация,0
транспортная сфера,створные знаки,0
биология,фотосинтез,0
ботаника,фотосинтез,0
физиологическая наука,фотосинтез,0
религия,монотеизм,0
геологические науки,юрский период,0
промышленность,производитель энергии,0
экономика,производитель энергии,0
энергетика (сфера деятельности),производитель энергии,0
"чувство, эмоция",огорчение,0
религия,монах ордена,0
авиация (сфера деятельности),воздушный транспорт,0
филология,альманах,0
литература,альманах,0
"устарелый, несовременный",современный (прогрессивный),0
биология,промысловый краб,0
зоология,промысловый краб,0
судоходство,порт северной европы,0
медицина,гангрена,0
физиологическая наука,гангрена,0
антропология,хорваты,0
кулинарное искусство,блюдо (тарелка),0
биология,чернушка (гриб),0
промышленность,чернушка (гриб),0
экономика,чернушка (гриб),0
отдых,военный парад,0
оборона государства,военный парад,0
биология,норка,0
зоология,норка,0
измерение,лот (измерительный прибор),0
правовая система,детоубийца,0
преступление,детоубийца,0
социология,социальная статистика,0
делопроизводство,канцелярские принадлежности,0
биология,кора головного мозга,0
зоология,кора головного мозга,0
промышленность,нефтегазодобывающая промышленность,0
энергетика (сфера деятельности),нефтегазодобывающая промышленность,0
добывающая промышленность,нефтегазодобывающая промышленность,0
биология,рабочий скот,0
сельское хозяйство,рабочий скот,0
зоология,рабочий скот,0
животноводство,рабочий скот,0
политическая деятельность,лоббизм,0
экономика,чаевые за услугу,0
филология,чаевые за услугу,0
денежная наличность,чаевые за услугу,0
финансовая сфера,чаевые за услугу,0
промышленность,орех,0
сельское хозяйство,орех,0
политическая деятельность,монархизм (политическое течение),0
политическая партия,монархизм (политическое течение),0
психологические науки,бескомпромиссный,0
черта характера,бескомпромиссный,0
судоходство,сплит,0
экономика,газификация,0
коммунальное хозяйство,газификация,0
электротехника (сфера деятельности),электробезопасность,0
электричество (физическое явление),электробезопасность,0
дипломатические отношения,специалист-международник,0
"цвет, окраска",пурпур (красный цвет),0
трудовые отношения,рабочий день,0
промышленность,"утеплитель, утеплительный материал",0
энергетика (сфера деятельности),"утеплитель, утеплительный материал",0
филология,словесная картина,0
физика,учитель физики,0
среднее общее образование,учитель физики,0
политическая деятельность,правящий регент,0
государственная управленческая деятельность,правящий регент,0
биология,овчарка,0
сельское хозяйство,овчарка,0
зоология,овчарка,0
животноводство,овчарка,0
судоустройство,судебно-процессуальный иммунитет,0
биология,алыча (растение),0
сельское хозяйство,алыча (растение),0
ботаника,алыча (растение),0
растениеводство,алыча (растение),0
анатомия (наука),нервная ткань,0
оборона государства,взвод (подразделение),0
военная служба,взвод (подразделение),0
ядерная физика,изотоп,0
оборона государства,военный катер,0
военная служба,военный катер,0
правовая система,подследственное лицо,0
преступление,подследственное лицо,0
правоохранительная деятельность,подследственное лицо,0
антропология,осетины,0
отдых,зимний отдых,0
религия,моджахед,0
политическая деятельность,моджахед,0
вооруженный конфликт,моджахед,0
ислам,моджахед,0
компьютер,суперкомпьютер,0
экономика,курсовая стоимость,0
ценная бумага,курсовая стоимость,0
антропология,галла (народ),0
политическая деятельность,сельское самоуправление,0
государственная управленческая деятельность,сельское самоуправление,0
промышленность,мастер производства,0
сельское хозяйство,баклажан (плод),0
оборона государства,старший офицерский состав,0
вооруженный конфликт,старший офицерский состав,0
военная служба,старший офицерский состав,0
семья,семья,0
мораль,моральные ценности,0
сельское хозяйство,бройлер,0
зоология,бройлер,0
животноводство,бройлер,0
промышленность,парфюмерно-косметическая промышленность,0
уход за телом,парфюмерно-косметическая промышленность,0
сфера образования,учебное пособие для учителя,0
искусство,скрипка,0
музыкальное искусство,скрипка,0
мода,верхний трикотаж,0
одежда,верхний трикотаж,0
искусство,трио (ансамбль),0
музыкальное искусство,трио (ансамбль),0
искусство,конферанс,0
промышленность,трюфель (шоколадная конфета),0
экономика,трюфель (шоколадная конфета),0
кулинарное искусство,трюфель (шоколадная конфета),0
мода,обувной мастер,0
обувь,обувной мастер,0
автомобильный транспорт,кузов седан,0
антропология,сирийцы,0
спорт,сноуборд (доска),0
филология,оттиск статьи,0
литература,оттиск статьи,0
антропология,тунисцы,0
промышленность,балык,0
экономика,балык,0
"чувство, эмоция",ангажированный (предвзятый),0
измерение,киловатт,0
"время, продолжительность",полвека,0
игра (развлечение),карточная масть,0
азартные игры,карточная масть,0
биология,лиственное дерево,0
ботаника,лиственное дерево,0
транспортная сфера,металлическая тара,0
грузовые перевозки,металлическая тара,0
сельское хозяйство,птицевод,0
животноводство,птицевод,0
промышленность,компания-монополист,0
экономика,компания-монополист,0
отдых,гала-представление,0
промышленность,предприятие железнодорожного транспорта,0
железнодорожный транспорт,предприятие железнодорожного транспорта,0
игра (развлечение),отыграть проигранное,0
"цвет, окраска",веснушки на коже,0
измерение,декабрь,0
"время, продолжительность",декабрь,0
медицина,имплантация,0
хирургия,имплантация,0
геологические науки,природный силикат,0
добывающая промышленность,природный силикат,0
промышленность,сахарная промышленность,0
сельское хозяйство,сахарная промышленность,0
искусство,повесть,0
филология,повесть,0
литература,повесть,0
биология,пинчер,0
сельское хозяйство,пинчер,0
зоология,пинчер,0
животноводство,пинчер,0
биология,членик тела,0
зоология,членик тела,0
медицина,перинатология,0
предмет интерьера,парта,0
сфера образования,парта,0
религия,исповедь (религиозный обряд),0
христианство,исповедь (религиозный обряд),0
медицина,климатотерапия,0
биология,клык (зуб),0
кулинарное искусство,клык (зуб),0
стоматологическая помощь,клык (зуб),0
зоология,клык (зуб),0
дипломатические отношения,государство-участник,0
преступление,освобождение из-под стражи,0
правоохранительная деятельность,освобождение из-под стражи,0
правовая система,временная работа,0
трудовые отношения,временная работа,0
беспричинный,мотивированный (обоснованный),0
психологические науки,бодряк (бодрый человек),0
черта характера,бодряк (бодрый человек),0
медицина,аутизм,0
психиатрия,аутизм,0
физиологическая наука,аутизм,0
экономика,дебет счета,0
бухгалтерский учет,дебет счета,0
финансовая сфера,дебет счета,0
оборона государства,гвардеец (военнослужащий),0
вооруженный конфликт,гвардеец (военнослужащий),0
военная служба,гвардеец (военнослужащий),0
искусство,экспромт (импровизация),0
игра (развлечение),мяч,0
спорт,мяч,0
искусство,музыковед,0
музыкальное искусство,музыковед,0
экономика,служебная записка,0
филология,служебная записка,0
мода,ухо шапки,0
одежда,ухо шапки,0
промышленность,переработка молока,0
сельское хозяйство,переработка молока,0
половая жизнь,некрофилия,0
железнодорожный транспорт,железнодорожный вагон,0
экономика,сокращение расходов,0
измерение,гектар,0
государственная управленческая деятельность,наместник (представитель власти),0
трудовые отношения,стимулирование труда,0
психологические науки,"напряженный, принужденный",0
